Created,Modified,Archived,Tags,Format,Characters,First line,Full note text,UUID
2026-07-25 10:53,2026-07-25 10:53,,,,59,Atomic Weight,"Atomic Weight

Obsolete, but see relative atomic mass below",f1ff28b5-a0b5-48cb-9c1a-96037997470c
2026-07-25 10:53,2026-07-25 10:53,,,,95,Atomicity,"Atomicity

The number of atoms in a molecule; for example, the atomicity of hydrogen, H2, is 2.",cc4c546c-6c45-4dd6-afc5-f4dfced1e3c9
2026-07-25 10:53,2026-07-25 10:53,,,,95,Avogadro Constant (IGCSE),"Avogadro Constant (IGCSE)

Is approximately 6 x 1023 mol-1, the number of atoms per mole of 12C",66942057-f54a-46e4-a190-e75d8041549c
2026-07-25 10:53,2026-07-25 10:53,,,,116,Base,"Base

A substance which reacts with an acid to form a salt and water only; a proton acceptor, for example, OH-, NH3.",f14ab43e-616b-49a5-8032-7deb6510e4d0
2026-07-25 10:53,2026-07-25 10:53,,,,78,Beta-particle,"Beta-particle

An electron given off by the nucleus of a radioactive substance",65cbb935-b042-4901-b71b-e7d077f043e6
2026-07-25 10:53,2026-07-25 10:53,,,,70,Boiling,"Boiling

The change of state from liquid to vapor at the boiling point",a8917cba-9d8a-45d7-a162-3b01a937b476
2026-07-25 10:53,2026-07-25 10:53,,,,163,Boiling Temperature (point),"Boiling Temperature (point)

The temperature at which the vapor pressure of the liquid is equal to the external pressure - usually quoted for atmospheric pressure.",e7f3c866-d0b5-48b0-9093-0b0302e034c9
2026-07-25 10:53,2026-07-25 10:53,,,,127,Catalyst (IGCSE),"Catalyst (IGCSE)

A substance which changes the rate of a reaction, but is itself unchanged in mass at the end of the reaction.",617042a3-25db-4063-91f1-efee2afe5a07
2026-07-25 10:53,2026-07-25 10:53,,,,31,Cathode,"Cathode

The negative electrode",c76087dc-a5ca-45be-b777-5bd39937d110
2026-07-25 10:53,2026-07-25 10:53,,,,313,Chromatography,"Chromatography

A method of separating substances; as they move through a stationary phase, the components of the mixture are differentially adsorbed and so move at different rates, producing a chromatogram. Especially useful for separating and identifying the products of hydrolysis of carbohydrates and proteins",3587f3d8-a4f5-4f92-90cf-d21c7d56fdc6
2026-07-25 10:53,2026-07-25 10:53,,,,35,Combustion,"Combustion

Burning, usually in air",1d6ac3b4-f41f-4a5c-855d-ae32e6a3cf91
2026-07-25 10:53,2026-07-25 10:53,,,,113,Compound,"Compound

A compound is formed when two or more elements are chemically combined in definite proportions by mass.",340ff4c7-effd-4489-9207-73ec9c688704
2026-07-25 10:53,2026-07-25 10:53,,,,120,Condensation,"Condensation

The change of state from vapor to liquid; often deliberately induced by cooling, as in a Liebig condenser.",b823ae1c-fb86-4dbe-b066-f858c1cff433
2026-07-25 10:53,2026-07-25 10:53,,,,256,Cracking (IGCSE),"Cracking (IGCSE)

The decomposition of a chemical substance by heat; this usually refers to mineral oils of high boiling temperature being broken down into more volatile components of lower molar mass; unsaturated hydrocarbons are produced in this process.",755d7f19-b0cc-4735-bce6-1324fa17f912
2026-07-25 10:53,2026-07-25 10:53,,,,107,Crystal,"Crystal

A solid whose atoms are arranged in a definite pattern, giving rise to an external geometric form.",480934f5-108b-4b75-9bfb-a7c27d14ffbf
2026-07-25 10:53,2026-07-25 10:53,,,,121,Crystallisation,"Crystallisation

The process whereby crystals are obtained, either from solution or the molten state, usually by cooling.",29dbec46-2ce3-458f-a670-2291c3ef4d75
2026-07-25 10:53,2026-07-25 10:53,,,,128,Diffusion,"Diffusion

The process whereby particles move freely through both gases and solutions to produce a uniform or homogeneous system",9e833f62-141e-46ae-b398-8e45868a7feb
2026-07-25 10:53,2026-07-25 10:53,,,,231,Distillation,"Distillation

The process which occurs when a liquid is converted to a vapor by heating, and then the vapor is recondensed to a liquid; it is used for the separation or purification of liquids. The product is called the distillate.",30ba4f34-d2aa-46fa-8db0-b72c6c5b8fbf
2026-07-25 10:53,2026-07-25 10:53,,,,104,Electrode,"Electrode

A conductor by which an electric current enters or leaves an electrolyte during electrolysis.",f46aa957-3576-4753-b6fb-7d5f445510af
2026-07-25 10:53,2026-07-25 10:53,,,,136,Electrolysis,"Electrolysis

This occurs when a substance, either in solution or the molten state, is decomposed by the passage of an electric current.",9f2acdb2-a329-4630-81c2-8ae9b1b27b49
2026-07-25 10:53,2026-07-25 10:53,,,,166,Electrolyte,"Electrolyte

The substance which undergoes electrolysis, either in solution or the molten state, for example, copper(II) sulphate solution, or molten lead(II) bromide",3d38710b-59bd-4030-b929-013b9df370be
2026-07-25 10:53,2026-07-25 10:53,,,,150,Electron,"Electron

A sub-atomic elementary particle, having unit negative charge and a mass approximately 1/1840 of a proton; it also exhibits wave properties.",98d8413f-d01d-45ac-99c8-9d2e904ede33
2026-07-25 10:53,2026-07-25 10:53,,,,62,Endothermic,"Endothermic

A process during which thermal energy is absorbed",a3da1590-d0eb-4af0-9737-531e1c71ffb9
2026-07-25 10:53,2026-07-25 10:53,,,,134,Equilibrium (IGCSE),"Equilibrium (IGCSE)

A reaction in which both reactants and products are present and are being dynamically converted into one another.",615884a2-f13b-4843-bc89-800865c1fc6c
2026-07-25 10:53,2026-07-25 10:53,,,,120,Evaporation,"Evaporation

The change of state from liquid to vapor below the boiling point; it occurs from the surface of the liquid.",6d1dce40-171e-475c-aad3-fec43b083bd5
2026-07-25 10:53,2026-07-25 10:53,,,,67,Exothermic,"Exothermic

This describes a process which gives out thermal energy",ad55a18f-a0e8-44a2-8c43-1c728adbeebd
2026-07-25 10:53,2026-07-25 10:53,,,,153,Fermentation,"Fermentation

The process whereby complex carbon compounds (mostly carbohydrates) are converted to simpler products by enzymes present in micro-organisms",172070a5-08b6-4d4b-9954-89d337ea2e2b
2026-07-25 10:53,2026-07-25 10:53,,,,241,Filtration,"Filtration

The process of separating solids from liquids by passing them through a porous material (in the laboratory usually filter paper); the liquid which passes through is called the filtrate; the solid left behind is called the residue",62589efe-bb32-43aa-8577-503360129ff1
2026-07-25 10:53,2026-07-25 10:53,,,,171,Fractional distillation (IGCSE),"Fractional distillation (IGCSE)

The separation of several liquids which have different boiling points, by collecting the distillates (fractions) at different temperatures",9c7b6859-280c-4918-a1ac-2df2cb7bcdb0
2026-07-25 10:53,2026-07-25 10:53,,,,72,Freezing,"Freezing

Change of state from liquid to solid at a constant temperature",fb7bd6a5-67e7-4c68-a16a-e7c3c90b1384
2026-07-25 10:53,2026-07-25 10:53,,,,181,Homologous series (IGCSE),"Homologous series (IGCSE)

A set of organic compounds with similar chemical properties and a regular gradation of physical properties and for which a general formula can be written.",82e55988-82c4-4b38-807b-5b95d1ab6bea
2026-07-25 10:53,2026-07-25 10:53,,,,51,Hydrocarbon,"Hydrocarbon

A compound of carbon and hydrogen only",92da6335-8e98-4425-bcaf-8a02f402f612
2026-07-25 10:53,2026-07-25 10:53,,,,139,Ion,"Ion

An electrically charged particle formed from an atom or group of atoms by loss or gain of electrons, for example Na+, Pb2+, Cl-, SO42-",6a1b0df1-a04c-4b54-9f53-4f2d9bcea0f3
2026-07-25 10:53,2026-07-25 10:53,,,,108,Indicator,"Indicator

A substance which exhibits different colors in acidic or alkaline conditions, for example litmus.",d34e6015-4b73-4b2b-94b6-044149be52e6
2026-07-25 10:53,2026-07-25 10:53,,,,105,Isomer,"Isomer

One of two or more substances with the same molecular formulae but different structural formulae.",f724c118-3658-412b-8ef2-0674eb9be50a
2026-07-25 10:53,2026-07-25 10:53,,,,15,Isotope (IGCSE),Isotope (IGCSE),e6846133-97e1-4627-aa8d-426d580891d4
2026-07-25 10:53,2026-07-25 10:53,,,,49,Melting,"Melting

The change of state from solid to liquid",6384f9f2-c840-49f2-a72a-d828a8ec3e71
2026-07-25 10:53,2026-07-25 10:53,,,,135,Melting temperature (point),"Melting temperature (point)

The temperature at which the solid and liquid phase of a substance are in equilibrium at a given pressure.",d1428975-f871-4ffe-bd30-0634ed797895
2026-07-25 10:53,2026-07-25 10:53,,,,128,Mineral,"Mineral

A naturally occurring inorganic substance with a characteristic chemical compostion and usually a definite crystal form",e76ffdea-f55d-4243-bc25-6a5702ff1cfa
2026-07-25 10:53,2026-07-25 10:53,,,,186,Mole (IGCSE),"Mole (IGCSE)

The unit of amount of substance. One mole is that amount of substance which contains as many specified elementary particles as there are atoms in 0.012kg of the isotope 12C",561e1f79-c1ad-4e68-8716-0a7bde66c3c7
2026-07-25 10:53,2026-07-25 10:53,,,,158,Molecule,"Molecule

The smallest part of a substance which can exist independently and still retain the properties of that substance. For example, Cl2, HCl, H2O, C2H5OH",b12e4eed-4f9d-483b-979b-e93bbb883ad0
2026-07-25 10:53,2026-07-25 10:53,,,,124,Neutralisation,"Neutralisation

The addition of an acid to an alkali, or vice versa, until neither is in excess and the solution is neutral.",7b649747-567f-4873-81e5-c63fb3597e76
2026-07-25 10:53,2026-07-25 10:53,,,,89,Neutron,"Neutron

A sub-atomic elementary particle, having the same mass as a proton but no charge",47d4d826-3a86-4d21-8fa0-8d618ecfe299
2026-07-25 10:53,2026-07-25 10:53,,,,137,Ore,"Ore

A solid, naturally-occurring mineral from which metals or other valuable constituents can be obtained, usually by chemical treatment",2f6c6f6e-c141-4fad-9217-bf7118255545
2026-07-25 10:53,2026-07-25 10:53,,,,168,Oxidation,"Oxidation

The addition of oxygen or the removal of hydrogen. An increase in the oxidation state of an element is oxidation. Oxidation is loss of one or more electrons.",5249a21c-b051-43ae-ab12-f6465f9399d3
2026-07-25 10:53,2026-07-25 10:53,,,,248,pH scale,"pH scale

A measure of the hydrogen ion concentration in water, hence of the acidity or alkalinity of a solution. A neutral solution has a pH value of 7; acidic solutions have pH values less than 7; alkaline solutions have pH values greater than 7.",acc448c2-8d20-4f59-82ec-148537f0948b
2026-07-25 10:53,2026-07-25 10:53,,,,175,Polymerisation,"Polymerisation

The process in which two or more molecules of the same compound combine to form larger molecules which have the same empirical formula but a higher molar mass.",ceabedd2-8533-4ec7-b5ad-d36cb39d5db5
2026-07-25 10:53,2026-07-25 10:53,,,,93,Precipitate,"Precipitate

An insoluble substance which separates from solution during a chemical reaction.",7bbfe4e1-2dc3-4ed6-ac89-656df20584e7
2026-07-25 10:53,2026-07-25 10:53,,,,178,Proton (IGCSE),"Proton (IGCSE)

A sub-atomic elementary particle, with unit positive charge and unit mass, expressed in relative atomic mass units.(The actual unit is approximately 166 x 10-24)",a1e9f7c1-9a8b-472d-99df-8754543645ed
2026-07-25 10:53,2026-07-25 10:53,,,,65,Proton number,"Proton number

The number of protons in the nucleus of an element",1728372e-be08-4e1d-86d1-3081bc1c7cce
2026-07-25 10:53,2026-07-25 10:53,,,,171,Reduction,"Reduction

The removal of oxygen or the addition of hydrogen. A decrease in the oxidation state of an element is reduction. Reduction is the gain of one or more electrons.",bb8ddf92-5de7-4cf3-885d-5c2e99ec6c5b
2026-07-25 10:53,2026-07-25 10:53,,,,70,Redox reaction,"Redox reaction

A reaction where reduction and oxidation are occurring",911ebf50-76b3-4e68-9ab3-d5c60f24820f
2026-07-25 10:53,2026-07-25 10:53,,,,50,Refine,"Refine

To purify; especially applied to crude oil",6c341447-0494-4b83-905d-eaa42abe68d6
2026-07-25 10:53,2026-07-25 10:53,,,,127,Relative atomic mass (IGCSE),"Relative atomic mass (IGCSE)

The ratio of the average mass per atom of an element relative to 1/12 the mass of an atom of 12C.",cd81c15c-d63a-492e-92ac-7c022bd621a6
2026-07-25 10:53,2026-07-25 10:53,,,,100,Relative molecular mass (IGCSE),"Relative molecular mass (IGCSE)

The sum of the relative atomic masses of the elements in a compound",eec69e0c-dea1-4436-ac13-f37c73bbdcc4
2026-07-25 10:53,2026-07-25 10:53,,,,200,Reversible reaction (IGCSE),"Reversible reaction (IGCSE)

A reaction which can be made to proceed either forwards or backwards under suitable conditions; a reaction in which both products and reactants are present at equilibrium.",a33e0890-95fb-4a7d-a9ad-7984713dab4a
2026-07-25 10:53,2026-07-25 10:53,,,,252,Salt,"Salt

The product obtained when part or all of the hydrogen of an acid is replaced by a metal (or the ammonium group). An ionic solid formed from positive ions, other than H+ ions, and negative ions, other than OH- and O2- ions; for example NaCl, CuSO4",8c7ed877-42e0-46ca-8738-82a0d38cdb06
2026-07-25 10:53,2026-07-25 10:53,,,,82,Saturated compound,"Saturated compound

An organic compound containing no carbon-carbon multiple bonds",65d7e55f-b6ce-4a6a-b503-361786f346ba
2026-07-25 10:53,2026-07-25 10:53,,,,91,Saturated solution (IGCSE),"Saturated solution (IGCSE)

A solution which remains in equilibrium with undissolved solute",9be2e0a4-ec37-49ec-b147-5e3b6946f054
2026-07-25 10:53,2026-07-25 10:53,,,,115,Smelting,"Smelting

The extraction of a metal from its ore, using heat, normally by reduction with carbon or carbon monoxide.",5007cf3c-273e-4a89-aeec-3aa702367278
2026-07-25 10:53,2026-07-25 10:53,,,,79,Solute,"Solute

A solute is a substance which dissolves in a solvent to form a solution",58b6e4f6-6ad9-4bd5-a78c-aa22bc165ac4
2026-07-25 10:53,2026-07-25 10:53,,,,210,State symbols,"State symbols

These are included in the equation for a reaction to indicate the physical state of the substances. They are as follows: (g), gaseous; (l), liquid; (s), solid; (aq), aqueous - dissolved in water.",c65b7817-8b0e-4d10-83c4-19bb1f3fd3e1
2026-07-25 10:53,2026-07-25 10:53,,,,101,Sublimation,"Sublimation

The change from solid to gas and back to solid without passing through the liquid state.",3a48276e-d231-45e4-80eb-26da8d6c4b6e
2026-07-25 10:53,2026-07-25 10:53,,,,223,Synthesis,"Synthesis

'Putting together'. The formation of a substance from simpler substances. The adjective synthetic is often applied to substances which are artificially produced and not obtained from naturally occurring material.",ec44ac8c-fe46-4ec3-9737-656a7bb74dd5
2026-07-25 10:53,2026-07-25 10:53,,,,84,Unsaturated,"Unsaturated

An organic compound containing one or more carbon-carbon multiple bonds",f46e5952-1945-4136-beb3-6d9474c6d329
2026-07-25 10:53,2026-07-25 10:53,,,,97,activation energy,"activation energy

The minimum energy required for a collision to be able to result in a reaction",7b148bb2-d076-48c9-911e-ae36729c8eba
2026-07-25 10:53,2026-07-25 10:53,,,,92,addition,"addition

a reaction in which two or more atoms are joined to a compound without elimination",cd9ea308-c5ab-4d66-b6e9-90a7d4326cb2
2026-07-25 10:53,2026-07-25 10:53,,,,216,addition polymerisation,"addition polymerisation

the process by whcih two or more molecules of a monomer combine by an addition reaction to form larger molecules of a new compound which has the same empirical formula but a larger molar mass",531ab2ea-fe24-4ea8-b001-ae30dee20c76
2026-07-25 10:53,2026-07-25 10:53,,,,94,addition reaction,"addition reaction

a reaction in which one molecule adds onto another to give a single product",5ceb05c9-43f3-4b33-81c7-dc352c02418b
2026-07-25 10:53,2026-07-25 10:53,,,,312,adrenaline,"adrenaline

A hormone produced by the adrenal gland in mammals, in response to low blood glucose level, exercise and stress. Adrenaline causes a breakdown of the carbohydrate food store glycogen to glucose and increases its uptake by cells. It also causes vasodilation of small arteries and increases heart rate.",7529b06c-1fac-4db1-bfe9-f473b095da32
2026-07-25 10:53,2026-07-25 10:53,,,,256,alveoli,"alveoli

The balloon like cavity at the end of the bronchioles (the tiny tubes in the lungs). Each alveolus is surrounded by blood vessels to absorb the oxygen from the air and return carbon dioxide to the air. Each lung contains about 300 million alveoli.",f5e6a847-ff46-4bfc-a62b-39172c156c58
2026-07-25 10:53,2026-07-25 10:53,,,,78,anaesthetic,"anaesthetic

A drug or agent that causes loss of feeling or sensation of pain.",78337134-9db4-4b92-8849-96e9bfb4a9d0
2026-07-25 10:53,2026-07-25 10:53,,,,242,antagonist,"antagonist

A term used to describe a drug that has an affinity for a specific cell receptors; agonists stimulate a response in the same way as the substance produced by the body which normally fits that receptor site, so increasing response.",40421634-3c5d-47a0-aa39-7fbba2d0bbd2
2026-07-25 10:53,2026-07-25 10:53,,,,143,antibiotic,"antibiotic

A substance which inhibits the growth or destroys bacteria. Louis Pasteur and Paul Erlich were pioneering scientists in this field.",d2a72827-f5ff-44ba-a121-541973877e48
2026-07-25 10:53,2026-07-25 10:53,,,,155,antibody,"antibody

A protein molecule which helps to defend the body against disease. Antibodies are produced mostly by white blood cells in response to an antigen.",4287ace2-f53f-42f2-8b41-47b68dcde5d1
2026-07-25 10:53,2026-07-25 10:53,,,,134,antifungal,"antifungal

A term used to describe a drug which destroys or suppresses the growth of fungi, often to used to treat fungal infections.",e4488e35-3a21-4bec-9787-dbe1f2cf3a02
2026-07-25 10:53,2026-07-25 10:53,,,,251,antigen,"antigen

A process which gives immune resistance to a particular disease. It involves exposing the human or animal to the antigen in order to raise antibodies and provide an immune memory in that organism. The antigen is made harmless before exposure.",b434b557-a803-46fa-97bb-89f8b73696d6
2026-07-25 10:53,2026-07-25 10:53,,,,159,antigen,"antigen

A substance which is foreign to the body which initiates an immune response. Most antigens are proteins, found on the surfaces of bacteria or viruses.",5a890bf6-b674-4875-9382-0c0a6644a4be
2026-07-25 10:53,2026-07-25 10:53,,,,116,antiseptic,"antiseptic

A substance that inhibits the growth and development of microorganisms without necessarily killing them.",7529c474-5898-4fa6-836e-84328635d50f
2026-07-25 10:53,2026-07-25 10:53,,,,210,antiviral,"antiviral

A drug which helps cells to defend themselves against viruses, by reducing DNA synthesis or by making cells more resistant to virus particle, or by surpressing their replication within the host cell.",2779219f-7fda-4e8f-906b-9a39b760577d
2026-07-25 10:53,2026-07-25 10:53,,,,291,arteries,"arteries

Blood vessels that carry blood from the heart to the muscles and organs of the body. The blood is pressurised so they have thisck walls. The blood in the arteris is oxygenated and red (except for the pulmonary artery that takes blood from the heart to the lungs to pick up oxygen).",e1ecd6b0-a58a-4ea7-896c-d27148bf1724
2026-07-25 10:53,2026-07-25 10:53,,,,129,Aufbau Principle,"Aufbau Principle

The construction of the The Periodic Table from electronic configuration, building up by one electron at a time",ae49c975-840f-4238-919d-e5452cf4d9f7
2026-07-25 10:53,2026-07-25 10:53,,,,89,Avogadro Constant,"Avogadro Constant

is approximately 6 x 1023 mol-1, the number of atoms per mole of 126C.",69c63e90-e285-43bc-bf67-e9257ea05b12
2026-07-25 10:53,2026-07-25 10:53,,,,143,bacteria  (pl.) bacterium (sing),"bacteria  (pl.) bacterium (sing)

A simple microscopic microorganisms; there are few no organelles and only small loops of DNA called plasmids.",4e2203b9-2253-4438-a74b-8ce35f4df430
2026-07-25 10:53,2026-07-25 10:53,,,,96,binding site,"binding site

These are the reactive parts of large molecules; the site where molecules combine.",67435dbe-3821-4924-ac8a-1ab3a29c732d
2026-07-25 10:53,2026-07-25 10:53,,,,155,blood transfusion,"blood transfusion

An operation in which a patient's lost blood is replaced by blood from other people (donors). The bloods have to be from the same group.",197c28de-dd71-47b6-84fa-795dd8d3de91
2026-07-25 10:53,2026-07-25 10:53,,,,71,bond length,"bond length

the distance between a pair of atoms or ions in a compound",51e9bc1d-7a93-4666-81c3-d96b96bebc5b
2026-07-25 10:53,2026-07-25 10:53,,,,106,bond polarity,"bond polarity

the ionic character of a bond resulting from the electronegativity difference between atoms",488a2f73-e239-4992-8679-49589c499d5e
2026-07-25 10:53,2026-07-25 10:53,,,,134,bronchodilator,"bronchodilator

A chemical which has the effect of opening up (dilating) the bronchii (airways) by causing the smooth muscle to relax.",429d3ada-020a-4433-8107-8538748855f2
2026-07-25 10:53,2026-07-25 10:53,,,,104,Brønsted-Lowry acid,"Brønsted-Lowry acid

a proton donor in the presence of a solvent (Brønsted-Lowry base - proton acceptor)",83aaff85-c7d2-4b33-88e4-3a46f1c0aae6
2026-07-25 10:53,2026-07-25 10:53,,,,219,buffer solution,"buffer solution

a solution of a weak acid and the salt of a weak acid (or a weak base and the salt of a weak base) whose pH only changes slightly on the addition of acid or base or on dilution at a constant temperature",da9665d7-5e9e-467c-a08b-df55f3ff6b46
2026-07-25 10:53,2026-07-25 10:53,,,,271,catalyst,"catalyst

A substance which when added to a reaction lowers the activation energy by providing an alternative reaction mechanism, and can be recovered unchanged in mass at the end of the reaction.  The catalyst concentration does not appear in the equilibrium expression.",871a56d1-9b06-44ee-a2fe-2c5966ad6a39
2026-07-25 10:53,2026-07-25 10:53,,,,26,cocaine,"cocaine

local anaesthetic",c23b1b4d-5d9c-4eaf-b57e-6ee31e2a8703
2026-07-25 10:53,2026-07-25 10:53,,,,61,complex ion,"complex ion

a metal cation surrounded by a number of ligands",01a3abc0-d068-4596-9270-038358a0d78c
2026-07-25 10:53,2026-07-25 10:53,,,,68,complex reaction,"complex reaction

One which proceeds by a number of elementary steps",2a4c1197-4894-4dac-aeea-7c67959f94ae
2026-07-25 10:53,2026-07-25 10:53,,,,193,cracking,"cracking

the decomposition of a chemical substance by heating, sometimes involving a catalyst; this usually refers to a petroleum fraction being broken down into components of lower molar mass",ba4e5c5c-6630-4668-9c85-0cd93d62fa6f
2026-07-25 10:53,2026-07-25 10:53,,,,306,crystal-field theory,"crystal-field theory

A theory of the electronic structures of inorganic complexes, in which the complex is assumed to consist of a central metal atom or ion surrounded by ligands that are ions.  E.g. [PtCl4]2- is throught of as a Pt2+ ion surrounded by four Cl- ions at the corners of a square. (abridged)",017ffde9-cf5a-4c43-ac8c-56270734f913
2026-07-25 10:53,2026-07-25 10:53,,,,237,dialysis,"dialysis

A process for separating substances in solution through a selectively permeable membrane. This is used for people whose kidneys are not functioning properly, in order to filter waste urea from the blood and adjust salt balance.",4699fc6e-b723-4778-90de-3f3ff39c805f
2026-07-25 10:53,2026-07-25 10:53,,,,166,DNA,"DNA

This is the molecule which contains the genetic code within the nucleus. DNA is passed on from one generation to the next, which is the mechanism of inheritance.",c02cee1e-9391-4b84-a1bc-d48134633cfd
2026-07-25 10:53,2026-07-25 10:53,,,,133,dynamic equilibrium,"dynamic equilibrium

a reversible reaction in which products are being converted into one another and vice-versa at a measurable rate",8b6dec6c-5720-4294-8e01-c788ce3fff20
2026-07-25 10:53,2026-07-25 10:53,,,,168,electrocardiogram (ECG),"electrocardiogram (ECG)

A recording of the electrical activity of the heart on a moving strip of paper. This gives a picture of the heart action over a period of time.",31d8e8b7-13a6-4e9c-9c43-8eefd3f1c8b3
2026-07-25 10:53,2026-07-25 10:53,,,,228,electron affinity,"electron affinity

The energy change for the process of bringing 1 mol of electrons from infinity to 1 mol of gaseous atoms for form 1 mol of gaseous uninegative ions at a stated temperarure and pressureX(g)  +  e-  -->  X-(g)",cd0334cd-1083-4729-8907-7cca16ba7b9a
2026-07-25 10:53,2026-07-25 10:53,,,,97,electronegativity,"electronegativity

The power of an atom in a molecule or in a bond to attract electrons to itself",b266751b-0dea-46f2-8681-53c5b8fbacd5
2026-07-25 10:53,2026-07-25 10:53,,,,158,electrophile,"electrophile

molecule or ion which can form a new covalent bond using a pair of electrons provided by another molecule or ion; attracted to a negative centre",5bcd5f20-959f-42c2-a500-ecf82805f80a
2026-07-25 10:53,2026-07-25 10:53,,,,167,elementary reaction,"elementary reaction

One which proceeds by a single step, for which the order and molecularity must be identical.  Elementary reactions are unlikely to be termolecular",d153c03c-480e-4505-a8e4-227f19aff7c7
2026-07-25 10:53,2026-07-25 10:53,,,,73,empirical formula,"empirical formula

The simplest whole number ratio of atoms in a compound",65978c24-6f9c-4140-9b74-afe9cbb66283
2026-07-25 10:53,2026-07-25 10:53,,,,234,Enthalpy Change of Atomisation,"Enthalpy Change of Atomisation

The energy change at constant pressure for(i) an element, the formation of 1 mol of gaseous atoms;(ii) a compound, the formation of gaseous atoms from 1 mol of the compound;at a stated temperature",983d79eb-cd3b-4e04-88fd-85fdbd8f6e46
2026-07-25 10:53,2026-07-25 10:53,,,,348,enthalpy change of atomisation,"enthalpy change of atomisation

the energy change at constant pressure and a stated temperature for the process of separation a substance into its constituent atoms in the ground state in the gas phase.  Usually fori) an element, the formation of 1 mol of gaseous atoms;ii) a compound, the formation of gaseous atoms from 1 mol of the compound",44b8dc61-3b6a-45a0-a83b-92be86506ea4
2026-07-25 10:53,2026-07-25 10:53,,,,186,Enthalpy Change of Combustion,"Enthalpy Change of Combustion

The energy change at constant pressure for the process of burning completely in oxygen (or sometimes fluorine) 1 mol of a substance at a stated temperature",25534f7b-6422-459f-b196-15750f4c5ab1
2026-07-25 10:53,2026-07-25 10:53,,,,242,enthalpy change of hydration,"enthalpy change of hydration

the energy change at constant pressure and a stated temperature for the process of bringing 1 mol of gaseous ions from infinity to form a solution in a specified volume of water containing 1 mol of hydrated ions.",ee3d4d65-5c76-496a-ba73-21787b735696
2026-07-25 10:53,2026-07-25 10:53,,,,186,enthalpy change of neutralisation,"enthalpy change of neutralisation

the energy change at constant pressure and a stated temperature for the process of reacting 1 mol of hydrated protons with an equivalent amount of base",f79fa99d-da94-470a-a5d9-ca0a6a0b43a9
2026-07-25 10:53,2026-07-25 10:53,,,,211,enthalpy change of reaction,"enthalpy change of reaction

the energy change at constant pressure and a stated temperature for a process in which a specified amount of reactants is converted into products at a stated temperature and pressure",1bc3429b-2250-4c98-87ca-c7f2ebfb6bb4
